"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","PartNumber"
"C1","1","0.01uf","","","","399-C0603C103K5RACTUCT-ND"
"C2","1","1uf","","","","399-C0603C105K3RACTUCT-ND"
"C3","1","0.1uf","","","","399-C0603C104M5RACTUCT-ND"
"D1,D2","2","Red","","","","475-KSEELP41.22-P1R2-58-A8J8-020-R18CT-ND"
"D3","1","Green","","","","475-KGEELP41.22-PHRH-35-A8J8-20-R18CT-ND"
"D4","1","SFH_320-4-Z","","","","475-SFH320-4-ZCT-ND"
"J1,J2","2","JST_ZH_S5B","","","","455-S5B-ZR-ND"
"R1","1","3.3k","","","","311-3.30KHRCT-ND"
"R2","1","220","","","","311-220HRCT-ND"
"R3","1","470","","","","311-470HRCT-ND"
"R4","1","15.0K","","","","311-15.0KHRCT-ND"
"R5,R6,R7","3","330","","","","311-330HRCT-ND"
"U1","1","QRE1113GR","","",""," QRE1113GRCT-ND"
"U2","1","SN74LVC2G14DBV","","","","1727-6088-1-ND"
"U3","1","SPX3819M5-L-3-3","","","","1016-1873-1-ND"
